horizon,horizon_label,lag_weeks,channel,n_features,train_n,test_n,xgb_R2,lgb_R2,lgb_weight,RMSE,NRMSE,R2,MAPE
1week,1주 후,1,Offline,56,8872,3057,0.6951,0.6954,0.45,157499.0,0.625,0.6962,200.0
1week,1주 후,1,Online,56,7318,2560,0.8456,0.8464,0.5,191815.0,0.456,0.8469,58.7
1week,1주 후,1,Total,56,9228,3185,0.8493,0.851,0.8500000000000001,264716.0,0.456,0.851,166.2
1month,1개월 후,4,Offline,56,8333,2795,0.6819,0.6843,0.7000000000000001,160149.0,0.636,0.6844,162.7
1month,1개월 후,4,Online,56,6870,2356,0.8388,0.8392,0.55,195809.0,0.466,0.8399,60.6
1month,1개월 후,4,Total,56,8687,2916,0.8422,0.8398,0.0,271647.0,0.468,0.8422,135.0
3months,3개월 후,13,Offline,56,6115,2727,0.6633,0.6558,0.0,166217.0,0.647,0.6633,156.6
3months,3개월 후,13,Online,56,5006,2327,0.8464,0.8408,0.0,192378.0,0.454,0.8464,58.4
3months,3개월 후,13,Total,56,6432,2854,0.8335,0.8363,0.8,277865.0,0.469,0.8363,119.3
